column,dtype,unique_count,unique_pct_of_rows,most_frequent_value,most_frequent_count
datetime,object,10886,100.0,2011-01-01 00:00:00,1
season,int64,4,0.03674444240308654,4,2734
holiday,int64,2,0.01837222120154327,0,10575
workingday,int64,2,0.01837222120154327,1,7412
weather,int64,4,0.03674444240308654,1,7192
temp,float64,49,0.45011941943781003,14.76,467
atemp,float64,60,0.551166636046298,31.06,671
humidity,int64,89,0.8175638434686754,88,368
windspeed,float64,28,0.25721109682160576,0.0,1313
casual,int64,309,2.8385081756384345,0,986
registered,int64,731,6.715046849164064,3,195
count,int64,822,7.550982913834282,5,169
