column,value,count,percentage
season,1.0,2686,24.673893073672605
season,2.0,2733,25.105640271908875
season,3.0,2733,25.105640271908875
season,4.0,2734,25.114826382509648
holiday,0.0,10575,97.14311960316002
holiday,1.0,311,2.856880396839978
workingday,0.0,3474,31.912548227080656
workingday,1.0,7412,68.08745177291935
weather,1.0,7192,66.06650744074959
weather,2.0,2834,26.03343744258681
weather,3.0,859,7.890869006062832
weather,4.0,1,0.009186110600771635
temp,0.82,7,0.06430277420540144
temp,1.64,2,0.01837222120154327
temp,2.46,5,0.04593055300385817
temp,3.28,11,0.10104721660848796
temp,4.1,44,0.40418886643395185
temp,4.92,60,0.551166636046298
temp,5.74,107,0.9829138342825647
temp,6.56,146,1.3411721477126584
temp,7.38,106,0.9737277236817931
temp,8.2,229,2.103619327576704
temp,9.02,248,2.278155428991365
temp,9.84,294,2.7007165166268603
temp,10.66,332,3.049788719456182
temp,11.48,181,1.6626860187396657
temp,12.3,385,3.536652581297079
temp,13.12,356,3.2702553738747016
temp,13.94,413,3.7938636781186843
temp,14.76,467,4.289913650560353
temp,15.58,255,2.3424582031967662
temp,16.4,400,3.6744442403086532
temp,17.22,356,3.2702553738747016
temp,18.04,328,3.013044277053096
temp,18.86,406,3.729560903913283
temp,19.68,170,1.5616388021311778
temp,20.5,327,3.003858166452324
temp,21.32,362,3.3253720374793314
temp,22.14,403,3.7020025721109686
temp,22.96,395,3.6285136873047947
temp,23.78,203,1.8647804519566415
temp,24.6,390,3.5825831343009367
temp,25.42,403,3.7020025721109686
temp,26.24,453,4.161308102149549
temp,27.06,394,3.6193275767040234
temp,27.88,224,2.057688774572846
temp,28.7,427,3.9224692265294876
temp,29.52,353,3.2426970420723866
temp,30.34,299,2.7466470696307184
temp,31.16,242,2.223038765386735
temp,31.98,98,0.9002388388756201
temp,32.8,202,1.85559434135587
temp,33.62,130,1.1941943781003124
temp,34.44,80,0.7348888480617307
temp,35.26,76,0.6981444056586441
temp,36.08,23,0.21128054381774758
temp,36.9,46,0.42256108763549516
temp,37.72,34,0.3123277604262355
temp,38.54,7,0.06430277420540144
temp,39.36,6,0.055116663604629794
temp,41.0,1,0.009186110600771635
windspeed,0.0,1313,12.061363218813154
windspeed,6.0032,872,8.010288443872863
windspeed,7.0015,1034,9.498438361197868
windspeed,8.9981,1120,10.28844387286423
windspeed,11.0014,1057,9.709718905015615
windspeed,12.998,1042,9.57192724600404
windspeed,15.0013,961,8.827852287341539
windspeed,16.9979,824,7.569355135035825
windspeed,19.0012,676,6.209810766121624
windspeed,19.9995,492,4.519566415579644
windspeed,22.0028,372,3.4172331434870475
windspeed,23.9994,274,2.5169943046114276
windspeed,26.0027,235,2.1587359911813335
windspeed,27.9993,187,1.7178026823442956
windspeed,30.0026,111,1.0196582766856512
windspeed,31.0009,89,0.8175638434686754
windspeed,32.9975,80,0.7348888480617307
windspeed,35.0008,58,0.5327944148447548
windspeed,36.9974,22,0.20209443321697593
windspeed,39.0007,27,0.2480249862208341
windspeed,40.9973,11,0.10104721660848796
windspeed,43.0006,12,0.11023332720925959
windspeed,43.9989,8,0.07348888480617308
windspeed,46.0022,3,0.027558331802314897
windspeed,47.9988,2,0.01837222120154327
windspeed,50.0021,1,0.009186110600771635
windspeed,51.9987,1,0.009186110600771635
windspeed,56.9969,2,0.01837222120154327
