dataset,column,zero_count,zero_pct,missing_count,missing_pct
train,season,0,0.0,0,0.0
train,holiday,10575,97.14311960316002,0,0.0
train,workingday,3474,31.912548227080656,0,0.0
train,weather,0,0.0,0,0.0
train,temp,0,0.0,0,0.0
train,atemp,0,0.0,0,0.0
train,humidity,22,0.20209443321697593,0,0.0
train,windspeed,1313,12.061363218813154,0,0.0
train,casual,986,9.05750505236083,0,0.0
train,registered,15,0.1377916590115745,0,0.0
train,count,0,0.0,0,0.0
competition_test,season,0,0.0,0,0.0
competition_test,holiday,6304,97.08917295549054,0,0.0
competition_test,workingday,2040,31.418450639149853,0,0.0
competition_test,weather,0,0.0,0,0.0
competition_test,temp,0,0.0,0,0.0
competition_test,atemp,2,0.030802402587401814,0,0.0
competition_test,humidity,0,0.0,0,0.0
competition_test,windspeed,867,13.35284152163869,0,0.0
